Ticker,Asset Name,Transaction Date,Disclosure Date,Type,Amount Range,Insider Title,Min Amount,Max Amount,Midpoint Amount
BA,The Boeing Company,2020-11-16,11/16/2020,PURCHASE,"$15,001 - $50,000",Senator,15001,50000,32500.5
V,Visa Inc.,2020-11-16,11/16/2020,PURCHASE,"$15,001 - $50,000",Senator,15001,50000,32500.5
COST,Costco Wholesale Corporation,2020-11-24,11/24/2020,PURCHASE,"$15,001 - $50,000",Senator,15001,50000,32500.5
COST,Costco Wholesale Corporation,2020-11-04,11/04/2020,SALE (FULL),"$15,001 - $50,000",Senator,15001,50000,32500.5
BA,The Boeing Company,2020-11-09,11/09/2020,SALE (FULL),"$15,001 - $50,000",Senator,15001,50000,32500.5
NVDA,NVIDIA Corporation,2020-11-04,11/04/2020,SALE (FULL),"$15,001 - $50,000",Senator,15001,50000,32500.5
DAL,"Delta Air Lines, Inc.",2020-11-16,11/16/2020,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
DIS,The Walt Disney Company,2020-11-10,11/10/2020,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
V,Visa Inc.,2020-11-20,11/20/2020,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
QCOM,QUALCOMM Incorporated,2020-11-20,11/20/2020,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
SNPS,"Synopsys, Inc.",2020-11-20,11/20/2020,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
ARE,"Alexandria Real Estate Equities, Inc.",2020-11-20,11/20/2020,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
MRVL,Marvell Technology Group Ltd.,2020-11-20,11/20/2020,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
SWKS,"Skyworks Solutions, Inc.",2020-11-20,11/20/2020,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
ABBV,AbbVie Inc.,2020-11-20,11/20/2020,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
FTNT,"Fortinet, Inc.",2020-11-20,11/20/2020,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
KEYS,"Keysight Technologies, Inc.",2020-11-20,11/20/2020,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
CTVA,"Corteva, Inc.",2020-11-20,11/20/2020,SALE (PARTIAL),"$1,001 - $15,000",Senator,1001,15000,8000.5
CRWD,"CrowdStrike Holdings, Inc.",2020-11-20,11/20/2020,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
DD,"DuPont de Nemours, Inc.",2020-11-20,11/20/2020,SALE (PARTIAL),"$1,001 - $15,000",Senator,1001,15000,8000.5
DOW,Dow Inc.,2020-11-20,11/20/2020,SALE (PARTIAL),"$1,001 - $15,000",Senator,1001,15000,8000.5
DDOG,"Datadog, Inc.",2020-11-20,11/20/2020,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
AAPL,Apple Inc.,2020-11-20,11/20/2020,SALE (PARTIAL),"$50,001 - $100,000",Senator,50001,100000,75000.5
GLW,Corning Incorporated,2020-11-20,11/20/2020,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
HAL,Halliburton Company,2020-11-20,11/20/2020,SALE (FULL),"$1,001 - $15,000",Senator,1001,15000,8000.5
TMO,Thermo Fisher Scientific Inc.,2020-11-20,11/20/2020,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
FTV,Fortive Corporation (Exchanged) <br> Vontier Corporation (Received),2020-10-09,10/09/2020,EXCHANGE,"$1,001 - $15,000",Senator,1001,15000,8000.5
NVDA,NVIDIA Corporation,2020-10-16,10/16/2020,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
WDAY,"Workday, Inc.",2020-10-16,10/16/2020,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
NVDA,NVIDIA Corporation,2020-10-16,10/16/2020,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
WDAY,"Workday, Inc.",2020-10-16,10/16/2020,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
NVDA,NVIDIA Corporation,2020-10-16,10/16/2020,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
WDAY,"Workday, Inc.",2020-10-16,10/16/2020,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
BBY,"Best Buy Co., Inc.",2020-10-13,10/13/2020,SALE (FULL),"$1,001 - $15,000",Senator,1001,15000,8000.5
CB,Chubb Limited,2020-09-09,09/09/2020,SALE (FULL),"$15,001 - $50,000",Senator,15001,50000,32500.5
TT,Trane Technologies plc,2020-09-30,09/30/2020,SALE (FULL),"$15,001 - $50,000",Senator,15001,50000,32500.5
TT,Trane Technologies plc,2020-09-30,09/30/2020,SALE (FULL),"$15,001 - $50,000",Senator,15001,50000,32500.5
AAPL,Apple Inc.,2020-09-11,09/11/2020,SALE (PARTIAL),"$1,001 - $15,000",Senator,1001,15000,8000.5
NFLX,"Netflix, Inc.",2020-09-14,09/14/2020,SALE (FULL),"$1,001 - $15,000",Senator,1001,15000,8000.5
NFLX,"Netflix, Inc.",2020-09-14,09/14/2020,SALE (FULL),"$1,001 - $15,000",Senator,1001,15000,8000.5
NFLX,"Netflix, Inc.",2020-09-23,09/23/2020,SALE (FULL),"$1,001 - $15,000",Senator,1001,15000,8000.5
BA,The Boeing Company,2020-09-04,09/04/2020,SALE (FULL),"$15,001 - $50,000",Senator,15001,50000,32500.5
WMT,Walmart Inc.,2020-09-04,09/04/2020,SALE (FULL),"$1,001 - $15,000",Senator,1001,15000,8000.5
AAPL,Apple Inc.,2020-09-17,09/17/2020,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
NVDA,NVIDIA Corporation,2020-09-14,09/14/2020,PURCHASE,"$15,001 - $50,000",Senator,15001,50000,32500.5
AAPL,Apple Inc.,2020-09-11,09/11/2020,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
AAPL,Apple Inc.,2020-09-09,09/09/2020,PURCHASE,"$15,001 - $50,000",Senator,15001,50000,32500.5
NVDA,NVIDIA Corporation,2020-09-04,09/04/2020,SALE (FULL),"$15,001 - $50,000",Senator,15001,50000,32500.5
NFLX,"Netflix, Inc.",2020-09-04,09/04/2020,PURCHASE,"$50,001 - $100,000",Senator,50001,100000,75000.5
NVDA,NVIDIA Corporation,2020-09-04,09/04/2020,PURCHASE,"$50,001 - $100,000",Senator,50001,100000,75000.5
NFLX,"Netflix, Inc.",2020-09-04,09/04/2020,SALE (FULL),"$50,001 - $100,000",Senator,50001,100000,75000.5
